weight_c,count,clean_mae,baseline_clean_mae,clean_delta,artifact_mae,baseline_artifact_mae,artifact_delta,artifact_gain,disagreement_mean,baseline_disagreement_mean,disagreement_reduction,max_age_clean_delta,max_age_artifact_delta,feasible
0.44,14036,6.23828020946495,6.330013979327206,-0.09173376986225623,6.660270171112469,7.237796939176928,-0.5775267680644589,0.5775267680644589,1.9765505174151445,3.093309116553771,0.36102392520757765,0.005841942813810341,-0.22210613195323337,False
0.45,14036,6.238226261747702,6.330013979327206,-0.09178771757950432,6.651494403495581,7.237796939176928,-0.5863025356813463,0.5863025356813463,1.9531132802150637,3.093309116553771,0.3686006775840721,0.010201405786269824,-0.221171149994408,False
0.46,14036,6.238248546836246,6.330013979327206,-0.09176543249096003,6.642889956639817,7.237796939176928,-0.5949069825371103,0.5949069825371103,1.9298215092604372,3.093309116553771,0.3761304038665122,0.014563817541028534,-0.21999851316313368,False
0.47000000000000003,14036,6.238336749752214,6.330013979327206,-0.09167722957499169,6.634426508224327,7.237796939176928,-0.6033704309526007,0.6033704309526007,1.9066834915163309,3.093309116553771,0.38361042505814924,0.01895318330732998,-0.21872710252474015,False
0.48,14036,6.23849325914402,6.330013979327206,-0.09152072018318602,6.626114199310329,7.237796939176928,-0.6116827398665983,0.6116827398665983,1.8836720098896091,3.093309116553771,0.3910495398571121,0.023412564922312917,-0.21735298915415502,False
0.49,14036,6.238743413548485,6.330013979327206,-0.09127056577872139,6.617936341929008,7.237796939176928,-0.6198605972479196,0.6198605972479196,1.8607975469813725,3.093309116553771,0.39844435946496326,0.02791406164755461,-0.21586326360436114,False
0.5,14036,6.239056808719543,6.330013979327206,-0.0909571706076635,6.609946066377237,7.237796939176928,-0.6278508727996908,0.6278508727996908,1.8380543390003898,3.093309116553771,0.4057967471908691,0.03247064345375872,-0.21425583056231456,True
0.51,14036,6.239427217971093,6.330013979327206,-0.09058676135611332,6.602166784003305,7.237796939176928,-0.6356301551736223,0.6356301551736223,1.815450174011509,3.093309116553771,0.41310418532174165,0.03716385842435255,-0.21257894138783673,True
0.52,14036,6.2399125794992045,6.330013979327206,-0.09010139982800158,6.594583750812033,7.237796939176928,-0.6432131883648946,0.6432131883648946,1.7929820416054516,3.093309116553771,0.42036764705785457,0.04248990771757288,-0.21090205221335978,True
0.53,14036,6.240501795807059,6.330013979327206,-0.08951218352014667,6.587250127697236,7.237796939176928,-0.6505468114796917,0.6505468114796917,1.7706752762967077,3.093309116553771,0.4275789422980779,0.04805602856854563,-0.2088868702297102,True
0.54,14036,6.241203378768143,6.330013979327206,-0.08881060055906342,6.58017021756459,7.237796939176928,-0.6576267216123375,0.6576267216123375,1.7485863058938704,3.093309116553771,0.43471982915113405,0.053817683214582246,-0.20575124099134712,True
0.55,14036,6.2420258532361315,6.330013979327206,-0.08798812609107465,6.573315778054481,7.237796939176928,-0.6644811611224464,0.6644811611224464,1.7266962881949797,3.093309116553771,0.4417963988937914,0.05986964902398384,-0.20218720888958241,True
0.56,14036,6.242935889845528,6.330013979327206,-0.08707808948167806,6.566647575521917,7.237796939176928,-0.6711493636550108,0.6711493636550108,1.7049493503652091,3.093309116553771,0.4488267140063007,0.06615775917095945,-0.19844449415153598,True
0.5700000000000001,14036,6.243930828592383,6.330013979327206,-0.0860831507348232,6.560186261328988,7.237796939176928,-0.67761067784794,0.67761067784794,1.6834382982001277,3.093309116553771,0.45578077238021664,0.0726337128538006,-0.19440150980176885,True
0.58,14036,6.2450422108156385,6.330013979327206,-0.08497176851156762,6.553941604133752,7.237796939176928,-0.6838553350431757,0.6838553350431757,1.6621610189890654,3.093309116553771,0.4626592570092495,0.07933330787360315,-0.1901251921413989,True
0.59,14036,6.246281497946625,6.330013979327206,-0.08373248138058109,6.547877158781645,7.237796939176928,-0.6899197803952823,0.6899197803952823,1.6410853862191714,3.093309116553771,0.46947255370084373,0.08634758720184887,-0.1858279564713632,True
0.6,14036,6.247619925743835,6.330013979327206,-0.08239405358337137,6.54192512171939,7.237796939176928,-0.6958718174575376,0.6958718174575376,1.6202023421097562,3.093309116553771,0.4762235906397839,0.09349185538691618,-0.18137813120580848,True
0.61,14036,6.249057724904593,6.330013979327206,-0.08095625442261323,6.536173364275641,7.237796939176928,-0.7016235749012862,0.7016235749012862,1.599515965799553,3.093309116553771,0.4829110491286561,0.10071777718826347,-0.17673469168380684,True
0.62,14036,6.250597312733738,6.330013979327206,-0.07941666659346769,6.530736440678681,7.237796939176928,-0.7070604984982465,0.7070604984982465,1.5791055222188146,3.093309116553771,0.4895093045281933,0.10813160202623173,-0.1710108603365592,True
0.63,14036,6.252206012038772,6.330013979327206,-0.0778079672884342,6.525591824961783,7.237796939176928,-0.7122051142151449,0.7122051142151449,1.5588656846843032,3.093309116553771,0.49605240667928396,0.11562963662600456,-0.16464215965910256,True
0.64,14036,6.253884955520609,6.330013979327206,-0.07612902380659747,6.52069518944041,7.237796939176928,-0.7171017497365177,0.7171017497365177,1.5389179822867938,3.093309116553771,0.5025010678527696,0.12326789591698706,-0.1571957666833974,True
0.65,14036,6.255629068196891,6.330013979327206,-0.07438491113031542,6.516076857142043,7.237796939176928,-0.721720082034885,0.721720082034885,1.5192209739228466,3.093309116553771,0.508868685061971,0.13095942577170394,-0.14955357258546265,True
0.66,14036,6.257453190501037,6.330013979327206,-0.07256078882616901,6.511667248858249,7.237796939176928,-0.7261296903186789,0.7261296903186789,1.4997272128466357,3.093309116553771,0.5151705968146278,0.13865118101322516,-0.14178711977484593,True
0.67,14036,6.259361380981766,6.330013979327206,-0.0706525983454398,6.5074680744844065,7.237796939176928,-0.7303288646925212,0.7303288646925212,1.4805080651081872,3.093309116553771,0.5213837320087789,0.14638806135294846,-0.1338025145290942,True
0.68,14036,6.2613537530363645,6.330013979327206,-0.06866022629084156,6.503527027226882,7.237796939176928,-0.7342699119500455,0.7342699119500455,1.4615984491460783,3.093309116553771,0.5274968022677176,0.15440849500261944,-0.12569867420729253,True
0.6900000000000001,14036,6.263428737062034,6.330013979327206,-0.06658524226517226,6.499894984950025,7.237796939176928,-0.7379019542269027,0.7379019542269027,1.4430217382431574,3.093309116553771,0.5335022515141276,0.16254209073029546,-0.11747849593348914,True
0.7000000000000001,14036,6.265553511333929,6.330013979327206,-0.06446046799327743,6.496514672056227,7.237796939176928,-0.7412822671207007,0.7412822671207007,1.4247974741455494,3.093309116553771,0.5393937623237267,0.17069224437521857,-0.10876402359435033,True
0.71,14036,6.26779657829178,6.330013979327206,-0.06221740103542572,6.493359943682327,7.237796939176928,-0.7444369954946009,0.7444369954946009,1.4069575468092166,3.093309116553771,0.5451610253628012,0.1790345112891174,-0.09950561105738753,True
0.72,14036,6.270129183793415,6.330013979327206,-0.05988479553379111,6.490477312848452,7.237796939176928,-0.7473196263284754,0.7473196263284754,1.3894552070485051,3.093309116553771,0.5508191536329595,0.1874455300443003,-0.09024719852042473,True
0.73,14036,6.272541777452331,6.330013979327206,-0.057472201874874784,6.487925483266593,7.237796939176928,-0.749871455910335,0.749871455910335,1.3722183385877809,3.093309116553771,0.556391460767892,0.19597341185841533,-0.0808600410163054,True
0.74,14036,6.27507142409126,6.330013979327206,-0.05494255523594571,6.485686291074712,7.237796939176928,-0.7521106481022155,0.7521106481022155,1.3552726321085866,3.093309116553771,0.5618696415253565,0.20491555871377543,-0.0706605690045059,False
0.75,14036,6.277682664626071,6.330013979327206,-0.05233131470113506,6.483856745002684,7.237796939176928,-0.7539401941742438,0.7539401941742438,1.3386942869443506,3.093309116553771,0.5672290623073009,0.21399262497545024,-0.06009110392138961,False
0.76,14036,6.280392738107468,6.330013979327206,-0.04962124121973854,6.482336490758296,7.237796939176928,-0.7554604484186314,0.7554604484186314,1.3225774732292395,3.093309116553771,0.5724392799440905,0.22329756650445276,-0.04918044617722028,False
0.77,14036,6.2831790034537915,6.330013979327206,-0.046834975873414564,6.481073623878999,7.237796939176928,-0.7567233152979282,0.7567233152979282,1.3069211518740715,3.093309116553771,0.5775006303508066,0.2327823302199734,-0.03772283483750272,False
0.78,14036,6.286039667355094,6.330013979327206,-0.043974311972112545,6.48008910519678,7.237796939176928,-0.757707833980148,0.757707833980148,1.2916714407202523,3.093309116553771,0.5824305324650864,0.24253717620679183,-0.02580822498172264,False
0.79,14036,6.288990210600815,6.330013979327206,-0.04102376872639102,6.479324085168194,7.237796939176928,-0.7584728540087333,0.7584728540087333,1.2767773676122416,3.093309116553771,0.5872454644834564,0.252419336073892,-0.013410205606641412,False
0.8,14036,6.292051928931406,6.330013979327206,-0.03796205039579981,6.478736525921782,7.237796939176928,-0.7590604132551455,0.7590604132551455,1.2623358606103139,3.093309116553771,0.5919140916583625,0.26268070838970914,-0.0008153069352294651,False
0.81,14036,6.295210310299195,6.330013979327206,-0.03480366902801091,6.478375910984277,7.237796939176928,-0.7594210281926506,0.7594210281926506,1.2484380172181584,3.093309116553771,0.5964069641352131,0.2734326103679301,0.011779591736181594,False
0.8200000000000001,14036,6.298436115772577,6.330013979327206,-0.031577863554629104,6.478353768123389,7.237796939176928,-0.7594431710535385,0.7594431710535385,1.2350721482858251,3.093309116553771,0.6007278607636186,0.2842739066864528,0.024607807692204275,False
0.8300000000000001,14036,6.301719478635443,6.330013979327206,-0.028294500691763425,6.478656511559517,7.237796939176928,-0.7591404276174103,0.7591404276174103,1.2222507649006142,3.093309116553771,0.604872736979383,0.2951367381857768,0.03766086591155915,False
0.84,14036,6.305077604281322,6.330013979327206,-0.024936375045884418,6.479264828488167,7.237796939176928,-0.758532110688761,0.758532110688761,1.2099901248369844,3.093309116553771,0.6088363369953069,0.30607047480577876,0.05115355865649107,False
0.85,14036,6.308533468298099,6.330013979327206,-0.02148051102910742,6.4801391869265315,7.237796939176928,-0.7576577522503962,0.7576577522503962,1.1983537319549706,3.093309116553771,0.6125981313855738,0.3172642696103569,0.06497286535508184,False
0.86,14036,6.312064920242236,6.330013979327206,-0.017949059084970465,6.481208669293399,7.237796939176928,-0.7565882698835287,0.7565882698835287,1.1874946442476602,3.093309116553771,0.6161086398081554,0.32848379874629074,0.0788673492943115,False
